row,no,addr,district,action,conf,via,oldLat,oldLng,newLat,newLng,movedKm
458,B0506-23,27 Harvest Lane Unit: A,Hamilton,RECOVERED,client-point,client coordinate sitting on harvest lane,32.267315,-64.872368,32.3354143,-64.7322707,15.21
459,B0002-24,13 Foothills Road,Devonshire,RECOVERED,client-point,client coordinate sitting on foothills road,32.3354143,-64.7322707,32.312807,-64.752368,3.15
460,B0503-23,10 Westwood Lane,Paget,RECOVERED,client-point,client coordinate sitting on westwood lane,32.312807,-64.752368,32.286988,-64.780185,3.89
461,B0505-23,127 Middle Road,Southampton,RECOVERED,client-point,client coordinate sitting on middle road,32.286988,-64.780185,32.254039,-64.84694,7.27
462,B0018-24,12 Paget Close,Paget,RECOVERED,client-point,client coordinate sitting on paget close,32.254039,-64.84694,32.290606,-64.773248,8.04
463,B0003-24,2 Tamarisk Hill,Smiths,RECOVERED,client-point,client coordinate sitting on tamarisk hill,32.290606,-64.773248,32.317988,-64.745986,3.98
464,B0009-24,17 Mcgall's Bay Road,Smiths,OSM,street,mcgalls bay road,32.317988,-64.745986,32.3108347,-64.7305954,1.65
465,BR0001-24,5 Edgehill Drive,Paget,RECOVERED,client-point,client coordinate sitting on edgehill drive,32.308879,-64.730553,32.279516,-64.788076,6.32
466,BR0005-24,38 Middle Road,Devonshire,OSM,street-anchored,middle road,32.279516,-64.788076,32.295416,-64.76825,2.57
467,B0022-24,8 Jackson Drive,Devonshire,RECOVERED,client-point,client coordinate sitting on jackson drive,32.29586,-64.766568,32.306043,-64.752237,1.76
468,B0014-24,7 Knapton Crescent,Smiths,RECOVERED,client-point,client coordinate sitting on knapton crescent,32.306043,-64.752237,32.316798,-64.719565,3.3
469,B0025-24,95 South Road,Paget,RECOVERED,client-point,client coordinate sitting on south road,32.316798,-64.719565,32.2699725,-64.7868268,8.2
470,B0023-24,24 Skyline Road,Smiths,RECOVERED,client-point,client coordinate sitting on skyline road,32.280726,-64.776702,32.319556,-64.720549,6.83
471,B0026-24,21 South Road,Smiths,RECOVERED,client-point,client coordinate sitting on south road,32.319556,-64.720549,32.3131214,-64.72813665,1.01
472,B0035-24,22 Narrows Lane,St. George,RECOVERED,client-point,client coordinate sitting on narrows lane,32.306682,-64.740254,32.369247,-64.66457,9.96
473,B0037-24,19 South Road,Southampton,RECOVERED,client-point,client coordinate sitting on south road,32.369247,-64.66457,32.248954,-64.844145,21.55
474,B0038-24,53 St. Anne's Road,Southampton,RECOVERED,client-point,client coordinate sitting on street annes road,32.250391,-64.85057,32.252656,-64.836254,1.37
475,B0042-24,12 Harrington Hundreds Road Unit: A,Smiths,RECOVERED,client-point,client coordinate sitting on harrington hundreds road,32.252656,-64.836254,32.3193995,-64.7255581,12.8
476,B0048-24,4 Knapton Crescent,Smiths,RECOVERED,client-point,client coordinate sitting on knapton crescent,32.320632,-64.72602,32.31643,-64.720511,0.7
477,BR0206-23,15 Harbour Road,Paget,RECOVERED,client-point,client coordinate sitting on harbour road,32.315434,-64.719929,32.284045,-64.783545,6.93
478,B0068-24,13 Hillview Road,Warwick,RECOVERED,client-point,client coordinate sitting on hillview road,32.282617,-64.78968,32.269209,-64.810727,2.48
479,B0039-24,12 Lighthouse Hill,St. George,RECOVERED,client-point,client coordinate sitting on lighthouse hill,32.269209,-64.810727,32.3661611,-64.653535,18.31
480,B0062-24,3 Kilderry Close,Smiths,RECOVERED,client-point,client coordinate sitting on kilderry close,32.3661611,-64.653535,32.311464,-64.745214,10.55
481,BR0037-24,34 Keith Hall Road,Warwick,RECOVERED,client-point,client coordinate sitting on keith hall road,32.311464,-64.745214,32.277845,-64.798117,6.23
482,BR0035-24,28 Keith Hall Road,Warwick,kept,client-original,,32.2756,-64.797609,32.2756,-64.797609,0
483,B0071-24,8 Riviera Road,Southampton,RECOVERED,client-point,client coordinate sitting on riviera road,32.276122,-64.798414,32.257463,-64.827027,3.4
484,B0046-24,6 Mission Crescent,Paget,RECOVERED,client-point,client coordinate sitting on mission crescent,32.257463,-64.827027,32.279867,-64.773622,5.61
485,B0085-24,41 St. Mary's Road,Warwick,RECOVERED,client-point,client coordinate sitting on street marys road,32.279867,-64.773622,32.27150525,-64.805102125,3.11
486,B0485-23,15 Southampton Road,Southampton,RECOVERED,client-point,client coordinate sitting on southampton road,32.271808,-64.805808,32.251302,-64.863728,5.91
487,BR0054-24,30 Gilbert Hill,Smiths,RECOVERED,client-point,client coordinate sitting on gilbert hill,32.251302,-64.863728,32.310041,-64.739027,13.44
488,BR0229-23,1 Jones Lane,Warwick,RECOVERED,client-point,client coordinate sitting on jones lane,32.310245,-64.738139,32.280109,-64.795768,6.38
489,B0090-24,12 Speakers Drive,St. George,RECOVERED,client-point,client coordinate sitting on speakers drive,32.280109,-64.795768,32.3778111,-64.6851087,15.06
490,B0081-24,119 Harbour View Drive,Southampton,RECOVERED,client-point,client coordinate sitting on harbour view drive,32.3778111,-64.6851087,32.251219,-64.826426,19.37
491,B0087-24,5 Woodstock Hill,Paget,RECOVERED,client-point,client coordinate sitting on woodstock hill,32.251219,-64.826426,32.287189,-64.764582,7.07
492,B0086-24,5 Mcgalls Hill Court,Smiths,RECOVERED,client-point,client coordinate sitting on mcgalls hill court,32.287189,-64.764582,32.309941,-64.736715,3.65
493,B0088-24,6 Hibiscus Lane,Pembroke,RECOVERED,client-point,client coordinate sitting on hibiscus lane,32.309941,-64.736715,32.294973,-64.774144,3.9
494,BR0059-24,4 Burgess Point Road,Warwick,RECOVERED,client-point,client coordinate sitting on burgess point road,32.294973,-64.774144,32.2675509,-64.8258986,5.75
495,B0093-24,5 Bayfield Road,Warwick,RECOVERED,client-point,client coordinate sitting on bayfield road,32.2675509,-64.8258986,32.2647901,-64.8186259,0.75
496,BR0004-24,121 Harrington Sound Road,Bermuda,RECOVERED,client-point,client coordinate sitting on harrington sound road,32.264409,-64.817993,32.328542,-64.714037,12.11
497,B0105-24,1 Between The Walls,Pembroke,RECOVERED,client-point,client coordinate sitting on between the walls,32.328542,-64.714037,32.292103,-64.79373,8.52
498,B0102-24,15 Tablerock Avenue,Pembroke,OSM,street,tablerock avenue,32.292103,-64.79373,32.3040707,-64.7980735,1.39
499,B0091-24,9 Burnt Hill Lane,Warwick,RECOVERED,client-point,client coordinate sitting on burnt hill lane,32.303055,-64.797524,32.266334,-64.816241,4.45
500,B0104-24,20 Grasmere Road,Pembroke,RECOVERED,client-point,client coordinate sitting on grasmere road,32.266334,-64.816241,32.300356,-64.807231,3.88
501,B0129-24,26 Jennings Bay Road,Southampton,RECOVERED,client-point,client coordinate sitting on jennings bay road,32.300798,-64.807608,32.258021,-64.86375,7.11
502,B0126-24,5 Rocky Ridge Road,Smiths,RECOVERED,client-point,client coordinate sitting on rocky ridge road,32.258021,-64.86375,32.325188,-64.715632,15.82
503,B0114-24,59 Spice Hill Road,Warwick,RECOVERED,client-point,client coordinate sitting on spice hill road,32.325474,-64.715429,32.26177,-64.810261,11.4
504,B0127-24,9 Berry Hill Road,Paget,OSM,street,berry hill road,32.26177,-64.810261,32.2940416,-64.7640316,5.64
505,B0487-23,49 Bloomfield Drive,Warwick,REVIEW,parish-anchor,street not in OSM,32.293934,-64.769054,32.2678602,-64.8053367,4.48
506,B0120-24,54 Serpentine Road,Pembroke,RECOVERED,client-point,client coordinate sitting on serpentine road,32.266444,-64.821083,32.2959924,-64.7891301,4.46
507,B0112-24,88 Sound View Road,Sandys,RECOVERED,client-point,client coordinate sitting on sound view road,32.2959924,-64.7891301,32.292965,-64.873206,7.92
508,B0092-24,9 Cedarberry Drive,Hamilton,OSM,street,cedarberry drive,32.292965,-64.873206,32.3408198,-64.7092143,16.33
509,B0135-24,7 Hastings Road,Pembroke,RECOVERED,client-point,client coordinate sitting on hastings road,32.34006,-64.709144,32.2929406,-64.8014382,10.14
510,B0143-24,34 South Road,Southampton,RECOVERED,client-point,client coordinate sitting on south road,32.2929406,-64.8014382,32.250391,-64.85057,6.62
511,B0136-24,2 Twin Lane Place,Pembroke,RECOVERED,client-point,client coordinate sitting on twin lane place,32.248954,-64.844145,32.302755,-64.791491,7.77
512,B0154-24,13A Middle Road,Warwick,RECOVERED,client-point,client coordinate sitting on middle road,32.302755,-64.791491,32.263759,-64.817458,4.98
513,B0132-24,13 Belmont Road,Warwick,RECOVERED,client-point,client coordinate sitting on belmont road,32.263759,-64.817458,32.274768,-64.801626,1.93
514,B0152-24,1 Church Road,Southampton,OSM,near-number,church road,32.274768,-64.801626,32.2535042,-64.846445,4.84
515,B0184-24,10 Arlington Drive,Smiths,RECOVERED,client-point,client coordinate sitting on arlington drive,32.293985,-64.78753,32.314425,-64.742002,4.85
516,B0182-24,52 Jennings Road,Smiths,OSM,street-anchored,jennings road,32.314425,-64.742002,32.3183028,-64.7387109,0.53
517,B0179-24,6 Pokiok Road,Smiths,OSM,street,pokiok road,32.318284,-64.740346,32.3092928,-64.7335728,1.19
518,B0181-24,9 Happy Talk Drive,Paget,OSM,street,happy talk drive,32.308346,-64.733483,32.2925521,-64.7578132,2.89
519,B0191-24,8 Emily's Bay Lane,St. George,OSM,street,emilys bay lane,32.291840433333334,-64.7637586333333,32.3690754,-64.6721298,12.18
520,B0206-24,25 Between The Walls,Pembroke,RECOVERED,client-point,client coordinate sitting on between the walls,32.369063,-64.67289,32.295816,-64.794069,14.01
521,B0197-24,12A Southcote Road,Paget,OSM,street,southcote road,32.295816,-64.794069,32.2767911,-64.7806402,2.47
522,B0217-24,9 Keith Hall Road,Warwick,RECOVERED,client-point,client coordinate sitting on keith hall road,32.276929,-64.781585,32.276808,-64.798074,1.55
523,B0200-24,10 Mizzentop,Warwick,RECOVERED,client-point,client coordinate sitting on mizzentop,32.277845,-64.798117,32.273333,-64.806729,0.95
524,B0198-24,7A Wreck Road,Sandys,RECOVERED,client-point,client coordinate sitting on wreck road,32.27150525,-64.805102125,32.275318,-64.878373,6.91
525,BC0040-24,56 South Road,Southampton,OSM,exact,south road,32.275318,-64.878373,32.2485197,-64.8392014,4.74
526,B0508-23,12 Williams Estate,Smiths,REVIEW,parish-anchor,street not in OSM,32.248964,-64.839529,32.3154757,-64.7304162,12.66
527,B0243-24,15 Coopers Hill,Southampton,REVIEW,parish-anchor,street not in OSM,32.306196,-64.735474,32.2544361,-64.8439449,11.72
528,B0236-24,11 Herons Nest Drive,Southampton,OSM,street,herons nest drive,32.252302,-64.844932,32.2605307,-64.8250678,2.08
529,B0237-24,4 Clouds Avenue,Warwick,OSM,street,clouds avenue,32.260025,-64.825498,32.2577787,-64.8131251,1.19
530,B0242-24,12 Tanglewood Road,Paget,OSM,street-anchored,tanglewood road,32.25761,-64.813044,32.2793449,-64.7890794,3.31
531,B0239-24,7 Tulo Lane,Pembroke,RECOVERED,client-point,client coordinate sitting on tulo lane,32.276417,-64.788316,32.303706,-64.805129,3.43
532,B0252-24,12 Devondale Drive,Devonshire,RECOVERED,client-point,client coordinate sitting on devondale drive,32.303706,-64.805129,32.296993,-64.75129,5.12
533,B0260-24,28 Castile Road,Warwick,REVIEW,parish-anchor,street not in OSM,32.296333,-64.75155,32.2678602,-64.8053367,5.97
534,B0216-24,8 Harvey Road,Paget,RECOVERED,client-point,client coordinate sitting on harvey road,32.265302,-64.82917,32.27254,-64.786562,4.09
535,B0277-24,11 Garthowen Road,Devonshire,RECOVERED,client-point,client coordinate sitting on garthowen road,32.272609,-64.787361,32.299257,-64.755618,4.21
536,B0265-24,1 Zuill's Park Drive,Smiths,OSM,street,zuills park drive,32.299257,-64.755618,32.3143931,-64.7304415,2.91
537,B0284-24,28 North Shore Road,Smiths,OSM,street-anchored,north shore road,32.3131214,-64.72813665,32.3158395,-64.7500276,2.08
538,B0275-24,43 Old Road,Hamilton,RECOVERED,client-point,client coordinate sitting on old road,32.318911,-64.744669,32.336613,-64.739729,2.02
539,B0272-24,8 Harbour Road,Warwick,RECOVERED,client-point,client coordinate sitting on harbour road,32.336613,-64.739729,32.269312,-64.816535,10.41
540,BR0157-24,5 Shinbone Alley,Town of St. George,RECOVERED,client-point,client coordinate sitting on shinbone alley,32.269312,-64.816535,32.382931,-64.67565,18.33
541,BC0086-24,76 Pitts Bay Road,Pembroke,OSM,exact,pitts bay road,32.382931,-64.67565,32.2905525,-64.7923192,15.03
542,B0294-24,8 Southlyn Lane,Paget,RECOVERED,client-point,client coordinate sitting on southlyn lane,32.290548,-64.792314,32.280962,-64.777781,1.73
543,B0287-24,32 Pearman's Hill West,Warwick,RECOVERED,client-point,client coordinate sitting on pearmans hill west,32.280962,-64.777781,32.264557,-64.808841,3.45
544,B0266-24,4 Aldie Drive,Smiths,RECOVERED,client-point,client coordinate sitting on aldie drive,32.264557,-64.808841,32.314128,-64.745546,8.12
545,B0306-24,13 Windermere,Pembroke,RECOVERED,client-point,client coordinate sitting on windermere,32.314128,-64.745546,32.299549,-64.802894,5.63
546,B0297-24,1 Timber Lane,Pembroke,RECOVERED,client-point,client coordinate sitting on timber lane,32.299549,-64.802894,32.296195,-64.799507,0.49
547,B0422-23,14 Laffan Street,City of Hamilton,RECOVERED,client-point,client coordinate sitting on laffan street,32.296195,-64.799507,32.297671,-64.785587,1.32
548,B0295-24,8 Inglewood Lane,Paget,RECOVERED,client-point,client coordinate sitting on inglewood lane,32.297671,-64.785587,32.286772,-64.766868,2.14
549,B0290-24,4 Lulworth Lane,Pembroke,RECOVERED,client-point,client coordinate sitting on lulworth lane,32.286772,-64.766868,32.2930967,-64.8055015,3.7
550,BC0008-24,5 The Lane,Paget,RECOVERED,client-point,client coordinate sitting on the lane,32.2935339,-64.8053996,32.290426,-64.772063,3.16
551,B0307-24,1 High Knoll Lane,Smiths,RECOVERED,client-point,client coordinate sitting on high knoll lane,32.290426,-64.772063,32.316389,-64.718497,5.81
552,B0327-24,14 Jubilee Road,Devonshire,RECOVERED,client-point,client coordinate sitting on jubilee road,32.316389,-64.718497,32.302098,-64.761213,4.32
553,B0323-24,17 Friths Farm Road,Paget,REVIEW,parish-anchor,street not in OSM,32.302098,-64.761213,32.2849567,-64.7753406,2.33
554,B0326-24,,Devonshire,REVIEW,parish-anchor,street not in OSM,32.278675,-64.785147,32.3039374,-64.7591087,3.73
555,B0315-24,,Warwick,REVIEW,parish-anchor,street not in OSM,0,0,32.2678602,-64.8053367,8058.94
556,B0314-24,1 Marshall Island,Warwick,REVIEW,parish-anchor,street not in OSM,0,0,32.2678602,-64.8053367,8058.94
557,B0303-24,10 Valley Road,Paget,OSM,near-number,valley road,32.284704,-64.812308,32.2835016,-64.7776835,3.26
558,BC0069-24,1 Harbour Road,Bermuda,RECOVERED,client-point,client coordinate sitting on harbour road,32.283866,-64.778036,32.2810336,-64.7948055,1.61
559,B0292-24,18 First Avenue,Pembroke,OSM,street,first avenue,32.279847,-64.79798,32.2950342,-64.7732414,2.88
560,B0322-24,3 Devon Point Lane,Devonshire,RECOVERED,client-point,client coordinate sitting on devon point lane,32.294551,-64.773418,32.301149,-64.744688,2.8
561,B0339-24,13 Middleton Lane,Paget,OSM,street,middleton lane,32.301149,-64.744688,32.2818317,-64.7805188,4
562,B0185-24,53 Harrington Sound Road,Hamilton,RECOVERED,client-point,client coordinate sitting on harrington sound road,32.280647,-64.779801,32.329076,-64.712027,8.35
563,B0347-24,51 St. Anne's Road,Southampton,RECOVERED,client-point,client coordinate sitting on street annes road,32.34255,-64.710431,32.2529735,-64.8392026,15.69
564,BR0167-24,3 Queen Street,Town of St. George,OSM,exact,queen street,32.253122,-64.836435,32.3815161,-64.6780783,20.65
565,BREV0367-24,4 Lulworth Lane,Pembroke,OSM,exact,lulworth lane,32.3815098,-64.6780743,32.2935435,-64.8054161,15.47
566,B0348-24,9 Verdmont Valley Drive,Smiths,RECOVERED,client-point,client coordinate sitting on verdmont valley drive,32.2935339,-64.8053996,32.310749,-64.743077,6.17
567,BREV0347-24,34 South Road,Southampton,OSM,street-anchored,south road,32.310749,-64.743077,32.2485197,-64.8392014,11.39
568,B0355-24,18 Riddell's Bay Road,Warwick,RECOVERED,client-point,client coordinate sitting on riddells bay road,32.248954,-64.844145,32.263911,-64.819931,2.82
569,BREV0389-24,1 Timber Lane,Pembroke,RECOVERED,client-point,client coordinate sitting on timber lane,32.264337,-64.821585,32.296195,-64.799507,4.11
570,B0367-24,1 Turtle Bay Lane,Southampton,RECOVERED,client-point,client coordinate sitting on turtle bay lane,32.296195,-64.799507,32.2511129,-64.8526628,7.09
571,B0376-24,36 Union Street,City of Hamilton,OSM,exact,union street,32.250024,-64.85148,32.2968566,-64.7801544,8.5
572,B0357-24,85 North Shore Road,Pembroke,OSM,exact,north shore road,32.29686,-64.780142,32.3056388,-64.7878334,1.22
573,B0377-24,51 Pitts Bay Road,Pembroke,OSM,near-number,pitts bay road,32.3056493,-64.7878537,32.2918389,-64.7948361,1.67
574,B0359-24,28 Point Finger Road,Paget,RECOVERED,client-point,client coordinate sitting on point finger road,32.29234,-64.794984,32.291189,-64.766623,2.67
575,B0343-24,10 Tankfield Lane,Paget,RECOVERED,client-point,client coordinate sitting on tankfield lane,32.291779,-64.767231,32.283678,-64.772568,1.03
576,BR0041-24,4 Lang Lane,St. George,RECOVERED,client-point,client coordinate sitting on lang lane,32.283678,-64.772568,32.368856,-64.669927,13.54
577,BREV0402-24,36 Middle Road,Devonshire,OSM,street-anchored,middle road,32.368856,-64.669927,32.295416,-64.76825,12.34
578,B0389-24,10 Collectors Hill,Smiths,RECOVERED,client-point,client coordinate sitting on collectors hill,32.295787,-64.766126,32.308037,-64.741357,2.7
579,B0398-24,7 Park View Lane,Devonshire,RECOVERED,client-point,client coordinate sitting on park view lane,32.308037,-64.741357,32.297492,-64.768743,2.83
580,B0396-24,2 Lulworth Lane,Pembroke,OSM,exact,lulworth lane,32.297492,-64.768743,32.2931148,-64.8054267,3.49
581,B0333-24,40 Crow Lane,Pembroke,RECOVERED,client-point,client coordinate sitting on crow lane,32.2930967,-64.8055015,32.2936656,-64.772988,3.06
582,B0397-24,2 Fort George Drive,Town of St. George,RECOVERED,client-point,client coordinate sitting on fort george drive,32.2936656,-64.772988,32.379659,-64.682414,12.82
583,B0408-24,6 Kiskadee Drive,Hamilton,RECOVERED,client-point,client coordinate sitting on kiskadee drive,32.379659,-64.682414,32.334494,-64.734906,7.04
584,B0427-24,37 Barry Road,Town of St. George,RECOVERED,client-point,client coordinate sitting on barry road,32.334494,-64.734906,32.3815884,-64.6669631,8.27
585,B0430-24,11 Turnstile Lane,Pembroke,RECOVERED,client-point,client coordinate sitting on turnstile lane,32.3810447,-64.676717,32.294257,-64.794695,14.71
586,B0392-24,6 Sylvan Dell Road,Paget,RECOVERED,client-point,client coordinate sitting on sylvan dell road,32.294257,-64.794695,32.274754,-64.784855,2.36
587,B0409-24,8 Mcgalls Hill Court,Smiths,RECOVERED,client-point,client coordinate sitting on mcgalls hill court,32.274754,-64.784855,32.310369,-64.736565,6.03
588,BR0231-24,4 Aldie Drive,Smiths,RECOVERED,client-point,client coordinate sitting on aldie drive,32.310369,-64.736565,32.314128,-64.745546,0.94
589,B0412-24,2 Agar's Hill,Pembroke,RECOVERED,client-point,client coordinate sitting on agars hill,32.314128,-64.745546,32.294947,-64.8042311,5.92
590,B0437-24,26 Turk's Head Lane,Devonshire,OSM,street,turks head lane,32.294947,-64.8042311,32.2976412,-64.754987,4.64
591,BC0121-24,11 North Street,Bermuda,RECOVERED,client-point,client coordinate sitting on north street,32.302098,-64.761213,32.299235,-64.781495,1.93
592,B0432-24,84 The Glebe Road,Devonshire,OSM,exact,the glebe road,32.299235,-64.781495,32.3069668,-64.7749029,1.06
593,B0440-24,6 Peppercorn Lane,Southampton,RECOVERED,client-point,client coordinate sitting on peppercorn lane,32.30699757586207,-64.7738048172413,32.25866,-64.827887,7.41
594,B0002-25,5 Long Lane,Hamilton,RECOVERED,client-point,client coordinate sitting on long lane,32.259651,-64.827163,32.3304207,-64.6999353,14.34
595,B0007-25,1 BFA Way,Devonshire,OSM,exact,bfa way,32.3304207,-64.6999353,32.301,-64.768808,7.26
596,B0006-25,19 Sunrise Drive,Hamilton,OSM,street-anchored,sunrise drive,32.301044,-64.768792,32.3465046,-64.7167268,7.04
597,BC0022-25,61 Pitts Bay Road,Pembroke,OSM,exact,pitts bay road,32.345554,-64.715805,32.2915425,-64.7920038,9.35
598,BREV0447-24,1 The Lane,Paget,OSM,near-number,the lane,32.291726,-64.791811,32.2899995,-64.7716785,1.9
599,B0028-25,6 Cross Bay Road,Southampton,RECOVERED,client-point,client coordinate sitting on cross bay road,32.289942,-64.772349,32.249624,-64.830499,7.08
600,B0014-25,22A Cedar Heights Lane,Warwick,OSM,street,cedar heights lane,32.249624,-64.830499,32.2687946,-64.8068447,3.08
601,BREV0020-25,7 Grasmere Road,Pembroke,RECOVERED,client-point,client coordinate sitting on grasmere road,32.290426,-64.772063,32.300798,-64.807608,3.54
602,B0026-25,10 Manor Hill,Warwick,OSM,near-number,manor hill,32.300356,-64.807231,32.2777809,-64.7942622,2.79
603,B0032-25,3 Undina Watch,Southampton,OSM,street,undina watch,32.277717,-64.794515,32.2537229,-64.8351824,4.67
604,B0372-24,15 Wilderness Lane,Smiths,RECOVERED,client-point,client coordinate sitting on wilderness lane,32.25180835555556,-64.8333210666666,32.315817,-64.730257,12.04
605,B0373-24,5 Devon Heights Close,Devonshire,RECOVERED,client-point,client coordinate sitting on devon heights close,32.315817,-64.730257,32.303933,-64.747048,2.06
606,B0009-25,9 Cavello Heights,Sandys,RECOVERED,client-point,client coordinate sitting on cavello heights,32.303933,-64.747048,32.297044,-64.863524,10.99
607,B0059-25,49 Paynters Hill,Hamilton,REVIEW,parish-anchor,street not in OSM,32.297044,-64.863524,32.3412801,-64.7255713,13.88
608,BR0045-25,54 Ord Road,Paget,RECOVERED,client-point,client coordinate sitting on ord road,32.3375,-64.70222,32.2776505,-64.781677,10.01
609,B0374-24,19 Devon Heights Road,Devonshire,RECOVERED,client-point,client coordinate sitting on devon heights road,32.279185,-64.780565,32.303992,-64.746425,4.24
610,B0068-25,19 Harvey Road,Paget,RECOVERED,client-point,client coordinate sitting on harvey road,32.303992,-64.746425,32.272609,-64.787361,5.2
611,B0052-25,1 Constable Close,Southampton,RECOVERED,client-point,client coordinate sitting on constable close,32.27254,-64.786562,32.252999,-64.868366,8
612,BC0146-24,43 Victoria Street,City of Hamilton,OSM,near-number,victoria street,32.252999,-64.868366,32.2950891,-64.7818503,9.4
613,B0413-24,4 High Knoll Lane,Smiths,RECOVERED,client-point,client coordinate sitting on high knoll lane,32.29535,-64.782378,32.316387,-64.718198,6.48
614,B0434-24,4 Turtle Bay Crescent,Southampton,RECOVERED,client-point,client coordinate sitting on turtle bay crescent,32.316387,-64.718198,32.250024,-64.85148,14.55
615,B0054-25,8 Trimingham Hill,Paget,RECOVERED,client-point,client coordinate sitting on trimingham hill,32.249646,-64.853291,32.290288,-64.769736,9.07
616,B0073-25,23 Melville Road,Devonshire,OSM,street,melville road,32.290288,-64.769736,32.3022975,-64.7524478,2.11
617,B0075-25,11 Benny's Bay Road,Sandys,RECOVERED,client-point,client coordinate sitting on bennys bay road,32.302289,-64.753397,32.267747,-64.879456,12.47
618,B0022-25,70 Harbour Road,Paget,RECOVERED,client-point,client coordinate sitting on harbour road,32.267747,-64.879456,32.282617,-64.78968,8.61
619,BC0138-24,10 Queen Street,City of Hamilton,RECOVERED,client-point,client coordinate sitting on queen street,32.284045,-64.783545,32.293904,-64.786387,1.13
620,BR0021-25,3 Marshall Island,Warwick,REVIEW,parish-anchor,street not in OSM,32.368971,-64.681281,32.2678602,-64.8053367,16.21
621,BR0020-25,1 Marshall Island,Warwick,REVIEW,parish-anchor,street not in OSM,32.283819,-64.80844,32.2678602,-64.8053367,1.8
622,B0090-25,49 Tucker's Point Drive,Hamilton,RECOVERED,client-point,client coordinate sitting on tuckers point drive,32.284704,-64.812308,32.337896,-64.701341,12.01
623,B0070-25,57 Bloomfield Drive,Warwick,REVIEW,parish-anchor,street not in OSM,32.337896,-64.701341,32.2678602,-64.8053367,12.51
624,BC0033-25,37 Front Street,City of Hamilton,RECOVERED,client-point,client coordinate sitting on front street,32.266993,-64.821334,32.29234,-64.785665,4.39
625,B0079-25,40 Crow Lane,Pembroke,RECOVERED,client-point,client coordinate sitting on crow lane,32.29234,-64.785665,32.2936656,-64.772988,1.2
626,B0096-25,2 Convict Bay Lane,Town of St. George,RECOVERED,client-point,client coordinate sitting on convict bay lane,32.2936656,-64.772988,32.382026,-64.674536,13.51
627,B0107-25,9 Lolly's Well Road,Smiths,OSM,street,lollys well road,32.382026,-64.674536,32.3183729,-64.7299084,8.79
628,B0134-25,146 Somerset Road,Sandys,OSM,exact,somerset road,32.32033,-64.729983,32.2846631,-64.8752028,14.23
629,B0150-25,33 Bloomfield Drive,Warwick,REVIEW,parish-anchor,street not in OSM,32.284683,-64.87527,32.2678602,-64.8053367,6.84
630,B0101-25,14 Summit View Drive,Hamilton,RECOVERED,client-point,client coordinate sitting on summit view drive,32.265572,-64.820661,32.344695,-64.724579,12.62
631,B0158-25,8 Devondale Drive,Devonshire,RECOVERED,client-point,client coordinate sitting on devondale drive,32.344695,-64.724579,32.296333,-64.75155,5.95
632,B0076-25,8 Slip Point Lane,St. George,RECOVERED,client-point,client coordinate sitting on slip point lane,32.296993,-64.75129,32.376398,-64.691503,10.48
633,B0163-25,8 Hastings Road,Pembroke,RECOVERED,client-point,client coordinate sitting on hastings road,32.376398,-64.691503,32.2929526,-64.8017921,13.92
634,B0136-25,14 Cottage Hill Road West,Hamilton,OSM,street,cottage hill road west,32.2929526,-64.8017921,32.3416,-64.7286773,8.76
635,B0092-25,9 West Point Lane,Hamilton,RECOVERED,client-point,client coordinate sitting on west point lane,32.341832,-64.729369,32.33361,-64.740621,1.4
636,B0126-25,1 Highwood Lane,Paget,RECOVERED,client-point,client coordinate sitting on highwood lane,32.33361,-64.740621,32.288179,-64.779644,6.25
637,B0115-25,51 Railway Trail,Sandys,RECOVERED,client-point,client coordinate sitting on railway trail,32.288179,-64.779644,32.282405,-64.871083,8.63
638,B0113-25,17 Melville Crescent,Devonshire,OSM,street,melville crescent,32.282405,-64.871083,32.3000328,-64.7509621,11.47
639,BR0111-25,1 Homestead Lane,Southampton,RECOVERED,client-point,client coordinate sitting on homestead lane,32.300608,-64.750419,32.25534,-64.862894,11.72
640,B0180-25,17 Pampas Lane,Smiths,OSM,street,pampas lane,32.25534,-64.862894,32.3042233,-64.738753,12.89
641,B0181-25,5 Fairyland Road,Pembroke,REVIEW,parish-anchor,street not in OSM,32.306537,-64.737434,32.3008022,-64.7915912,5.14
642,B0188-25,4 Lemarc Estate,Warwick,OSM,street,lemarc estate,32.296397,-64.799038,32.2609979,-64.8133581,4.16
643,B0177-25,23 Pearman's Hill West,Warwick,OSM,street,pearmans hill west,32.261128,-64.813306,32.264039,-64.8083577,0.57
644,BR0095-25,17 Tankfield Hill,Paget,RECOVERED,client-point,client coordinate sitting on tankfield hill,32.3668883,-64.6570664,32.281416,-64.771472,14.36
645,B0191-25,40 Crow Lane,Pembroke,RECOVERED,client-point,client coordinate sitting on crow lane,32.282667000000004,-64.771985,32.2936656,-64.772988,1.23
646,B0198-25,8 Tankfield Hill,Paget,RECOVERED,client-point,client coordinate sitting on tankfield hill,32.2936656,-64.772988,32.282667000000004,-64.771985,1.23
647,B0209-25,13 Mizzentop,Warwick,RECOVERED,client-point,client coordinate sitting on mizzentop,32.281416,-64.771472,32.273322,-64.806901,3.45
648,B0197-25,47 Paynters Hill,Bermuda,REVIEW,parish-anchor,street not in OSM,32.273322,-64.806901,32.3008022,-64.7915912,3.38
649,B0185-25,2 Clouds Avenue,Warwick,OSM,street,clouds avenue,32.3375,-64.70222,32.2577787,-64.8131251,13.7
